Course,OutsideElective,ArtsCourses,DiscreteStructures,LinearAlgebra,ProbabilityStatistics,Calculus,Foundations,Systems,Capstone,ArchitecturePath,DataPath,DesignPath,MLPath,SecurityPath,SoftwarePath,CompBioPath,SystemsPath,TheoryPath,VisualCompPath
APMA1170,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1200,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1210,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1360,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1650,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1655,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1660,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1670,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1690,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1710,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
APMA1740,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CLPS1211,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CLPS1342,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CLPS1350,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CLPS1491,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CLPS1520,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,r,f,f,r
CSCI0020,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0030,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0040,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0050,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0060,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0080,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0090A,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0090B,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0090C,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0100,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0111,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0112,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0130,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0150,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0160,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI0170,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
